"combination","validation","FOD_0","log","dist_thr","n_initial","n_removed","percent_removed","n_remaining","mtry","nodesize","ntree","RMSE","RMSE_sd","R2","R2_sd","MAE","MAE_sd"
99,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,3,100,1.28717777734191,0.617695673863544,-0.715471202650353,0.852138835964728,1.07073314593524,0.542802080154165
100,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,3,100,1.35477466674528,0.665119073726404,-0.812923893779563,0.796053503026418,1.10622662893077,0.61757112392607
101,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,5,100,1.29690656258125,0.653735603379531,-0.676974496897389,0.790127292234377,1.07734072225707,0.578931476420838
102,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,5,100,1.31571795799893,0.653991541606618,-0.741184690290832,0.824389110015309,1.06633079553389,0.607618243519944
103,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,10,100,1.29473966594449,0.609430722382337,-0.715339351325892,0.803491862660849,1.07371048371104,0.52931654777709
104,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,10,100,1.29210857612381,0.602944930788243,-0.652126552259265,0.669765881701028,1.02881865516958,0.552285800409441
105,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,1,300,1.30002271193907,0.617600335453339,-0.708979221447811,0.775640009872935,1.07804862703469,0.539646175903241
106,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,1,300,1.33534515026898,0.638068402423397,-0.747087871753345,0.708950484988068,1.06703143679268,0.5965782531198
107,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,3,300,1.2976659600624,0.649684242124507,-0.677057397490331,0.779605831234301,1.07227676426023,0.569574718646303
108,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,3,300,1.33176256167629,0.609639126502555,-0.756336238455148,0.690961946314738,1.0519648659086,0.567784880298974
109,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,5,300,1.30069667275949,0.639841994476549,-0.692828554884771,0.777522334266385,1.08464058551546,0.550827578173609
110,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,5,300,1.33333528152804,0.647072565700017,-0.757798627703699,0.759558775830715,1.06824339562884,0.595609346852257
111,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,10,300,1.31910543059638,0.621096708776653,-0.767275447908423,0.806095189078095,1.08271317372503,0.549299989409759
112,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,10,300,1.30701166861399,0.594904106510416,-0.724952206791091,0.736675512189933,1.04446610914485,0.548990892948198
113,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,1,500,1.30378871918371,0.634646944222664,-0.701336545909194,0.770246162507835,1.07275824995402,0.562045176077238
114,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,1,500,1.33866717200955,0.619424416681091,-0.746955757424063,0.648460093664086,1.05768096078794,0.576030298445371
115,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,3,500,1.30780514549562,0.636172441632886,-0.715048922699718,0.780554269271193,1.07599987058511,0.562562895627919
116,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,3,500,1.324575811498,0.619792462907219,-0.73623981203991,0.707284724499878,1.06136745976097,0.574551570270498
117,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,5,500,1.32875243112459,0.628158372541428,-0.765728589327021,0.763716263857407,1.08832720585862,0.557472223116522
118,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,5,500,1.33448174234999,0.603199103193329,-0.740543138199621,0.622677098165699,1.05960064369043,0.555409290409692
119,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,10,500,1.29297009667879,0.620523606051338,-0.686075769296611,0.768260161835853,1.07351843841172,0.537719144920404
120,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,10,500,1.32702679438887,0.609700430954542,-0.756225191333762,0.718796076424736,1.06248638412501,0.571366334778614
121,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,1,100,0.675157123254494,0.109762408025588,0.451311356077466,0.140306765165555,0.544679117324067,0.104343384903154
122,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,1,100,0.644362485080925,0.101192339149137,0.490359060219197,0.154855399183893,0.511981808181994,0.0955457314263925
123,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,3,100,0.698725493298558,0.107034671145745,0.40897390647349,0.154469768788063,0.561948430122349,0.103124299981239
124,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,3,100,0.647030378451136,0.101877265556442,0.489533263217128,0.150579895171189,0.520409329385069,0.0953405009081477
125,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,5,100,0.70440241645593,0.106691146166073,0.398384032022991,0.163508635577417,0.570787092506219,0.104679884660837
126,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,5,100,0.650644893694393,0.105650938614804,0.483881780282707,0.150895420778063,0.52229519748826,0.0928070240637614
127,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,10,100,0.706062872811356,0.115415611916615,0.399979807997513,0.153493291479937,0.574239003380034,0.112329214620045
128,"RS",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,10,100,0.655411901521015,0.110249248343836,0.474085090387395,0.162450097337486,0.530074171519867,0.099504719147867
